beat,measure,chord,scale
1,1,A7,
2,1,,
3,1,,
4,1,,
5,2,,
6,2,,
7,2,,
8,2,,
9,3,D,
10,3,,
11,3,,
12,3,,
13,4,,
14,4,,
15,4,,
16,4,,
17,5,G,
18,5,,
19,5,,
20,5,,
21,6,A,
22,6,,
23,6,,
24,6,,
25,7,D,
26,7,,
27,7,,
28,7,,
29,8,,
30,8,,
31,8,,
32,8,,
33,9,G,
34,9,,
35,9,A,
36,9,D,
37,10,,
38,10,,
39,10,,
40,10,,
41,11,,
42,11,,
43,11,,
44,11,,
45,12,,
46,12,,
47,12,,
48,12,,
49,13,G,
50,13,,
51,13,,
52,13,,
53,14,A,
54,14,,
55,14,,
56,14,,
57,15,D,
58,15,,
59,15,,
60,15,,
61,16,,
62,16,,
63,16,,
64,16,,
65,17,G,
66,17,,
67,17,A,
68,17,D,
69,18,,
70,18,,
71,18,,
72,18,,
73,19,G,
74,19,,
75,19,,
76,19,A,
77,20,,
78,20,D,
79,20,,
80,20,,
81,21,G,
82,21,,
83,21,,
84,21,F#7,
85,22,,
86,22,Bm,
87,22,,
88,22,,
89,23,G,
90,23,,
91,23,,
92,23,A,
93,24,,
94,24,D,
95,24,,
96,24,,
97,25,A,
98,25,,
99,25,,
100,25,,
101,26,,
102,26,,
103,26,,
104,26,,
105,27,G,
106,27,,
107,27,,
108,27,A,
109,28,,
110,28,D,
111,28,,
112,28,,
113,29,G,
114,29,,
115,29,,
116,29,F#7,
117,30,,
118,30,Bm,
119,30,,
120,30,,
121,31,G,
122,31,,
123,31,,
124,31,A,
125,32,,
126,32,D,
127,32,,
128,32,,
129,33,A,
130,33,,
131,33,,
132,33,,
133,34,,
134,34,,
135,34,,
136,34,,
137,35,,
138,35,,
139,35,,
140,35,,
141,36,,
142,36,,
143,36,,
144,36,,
